,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
30658,30658,Spain,"Dry, crisp aromas of dusty red berries and spice announce a medium-bodied wine with fresh acidity and good balance. Earthy plum and berry flavors show a tobacco note and some overt oak, while the finish is dry.",Ayrum Reserva,88,13.0,Central Spain,Valdepeñas,,Tempranillo,Felix Solis
30675,30675,Spain,"Pure, clean, polished aromas of cherry, plum and berry are fit and fruity. This has a lot of life and spunky tannins, while flavors of raspberry, plum and wild herbs finish with a hint of brine and easy length. This is a fine Mencía made in a crowd-pleasing style. Drink through 2020.",Lalama,92,36.0,Galicia,Ribeira Sacra,,Mencía,Dominio Do Bibei
30677,30677,Spain,"After an early blast of gaseous sulfur, this heavyweight Tempranillo smells of toasted oak, graphite, latex and alcohol. The palate is lush, meaty, jammy and borderline syrupy, while flavors of blackberry, fig and chocolate finish with depth and extreme richness. Drink through 2025.",Milagros de Figuero,92,100.0,Northern Spain,Ribera del Duero,,Tempranillo,García Figuero
30744,30744,Spain,"From a mediocre vintage, it seems as though the winery poured on the fully toasted oak to cover up marginal fruit. This smells like burnt meat and rubber, tastes charred and baked, and finishes blackened and overly toasty, with a choppy feel and hard tannins.",Altos Lanzaga Gran Viñedo,84,130.0,Northern Spain,Rioja,,Tempranillo,Telmo Rodríguez
30749,30749,Spain,"This blend of Tempranillo, Merlot, Cabernet Sauvignon and Garnacha is gamy on the nose, with aromas of tomato leaf, compost and cherry-pie filling. The palate is decidedly acidic, while flavors of zesty red fruits like red currant and sour plum come across herbal and a touch weedy.",Raso de Larrainzar,84,24.0,Northern Spain,Navarra,,Red Blend,Pago de Larrainzar
30786,30786,Spain,"Licorice and leather aromas give character to smoky yet generic plum and raspberry scents. This feels tight and fresh given its age, with earthy, slightly muddled flavors of raspberry and plum infused with oak and vanilla. On the finish, things seem caught between racy and tired, so drink now.",Reserva,88,22.0,Northern Spain,Rioja,,Red Blend,Siglo
30800,30800,Spain,"Strident apple and lime aromas are pure and pretty in this wine. This isn't a complex or complicated white, but rather friendly and easy to like. Flavors of peach, apple and apricot finish minerally and clean. This is a textbook quaffing wine.",,88,13.0,Northern Spain,Rioja,,Viura,Beronia
30815,30815,Spain,"Leathery, roasted plum and berry aromas come with a noticeable charred, smoky side. This is full and edgy on the palate, with rubbery tannins. Flavors of charred oak steer leafy berry flavors toward a dry, herbal, spicy finish.",,86,13.0,Northern Spain,Rioja,,Tempranillo,Viña Los Valles
30816,30816,Spain,"Unusual aromas of cardamom and cinnamon accent blueberry and plum scents. In the mouth, this is robust and voluminous but mild in terms of tannins and structure. Earthy, stewy plum and blackberry flavors finish charred, with herbal notes and heat.",Vendimia Seleccionada,86,13.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Riolanc
30837,30837,Spain,"This forcefully oaked Garnacha offers rustic berry fruit aromas over clove. The high acidity is offset by resiny oak, while flavors of clove and char vie with generic red-berry flavors over a slightly hot finish.",Selección Especial,86,12.0,Northern Spain,Calatayud,,Garnacha,Marqués de Montañana
30878,30878,Spain,"Fairly deep berry aromas register as dark and ripe. Following the nose, this feels chunky and round, while toasty blackberry flavors remain heavy and dark on a full generous finish. Drink through 2018.",El Primavera,89,16.0,Northern Spain,Rioja,,Tempranillo,Agrícola Labastida
30881,30881,Spain,"Apricot aromas are singular and firmly in control of the bouquet of this Galician blend of 70% Albariño, 15% Loureira and 15% Caiño Blanco. This is juicy and fresh, but low on cushion and leesy framework. Apple and pineapple flavors run quick and finish with minerality and zest.",O Rosal,89,26.0,Galicia,Rías Baixas,,White Blend,Terras Gauda
30882,30882,Spain,"Aromas of children's vitamins, corn stalk and white peach set up a lemony stony zesty palate with lemon and nectarine flavors. A stony crisp cleansing finish does the job while not faltering.",,89,25.0,Northern Spain,Getariako Txakolina,,Hondarrabi Zuri,Zudugarai
30895,30895,Spain,"Friendly familiar aromas of lees, seashell, lemon, melon and apple set up a shearing pointed palate. Flavors of lemon-lime, green apple and gooseberry are propelled by minerally acidity, while the finish is fresh and well cut.",,89,18.0,Galicia,Rías Baixas,,Albariño,La Caña
30936,30936,Spain,"Despite its high price tag, this Pinot Noir-based blanc de noirs is straightforward on the nose, with hints of apple and wild flower. The palate is smooth, while flavors of citrus, apple and mango come with green-herb notes that carry onto the finish in the form of tarragon and thyme.",Blanc de Noirs Brut Reserva,88,33.0,Catalonia,Cava,,Pinot Noir,Juvé y Camps
30953,30953,Spain,"With clean aromas of wet stone and grapefruit blossom, this bright, slightly pulpy Godello delivers round grapefruit and nectarine flavors in front of a powerful, peachy, melony finish with kick. This is no wallflower white. Match with grilled fish.",,88,17.0,Northern Spain,Valdeorras,,Godello,Castelo do Papa
30967,30967,Spain,"Lightly smoked, minerally berry aromas are leathery and ripe, but perfectly healthy. The palate feels entirely in sync, with fine tannins and lasting acidity. Layered, earthy plum and berry flavors are spicy and show notes of vanilla and tobacco prior to a smooth finish. Drink through 2022.",Izarbe Gran Reserva,92,60.0,Northern Spain,Rioja,,Tempranillo,Larchago
30980,30980,Spain,"Pure minerals, peach and melon aromas come with a hint of leesy dust. This wine is elegant, chiseled and minerally on the palate. Flavors of dusty apple and citrus end long and stony, with class. Laxas is a top-flight Albariño producer and this vintage is one of its best. Drink now.",,92,22.0,Galicia,Rías Baixas,,Albariño,As Laxas
30983,30983,Spain,"Powerful blackberry aromas are matched by creamy oak. This Monastrell-Syrah blend is a driller, with strong tannins and more than enough body weight. Oaky flavors of dark-berry fruits and black plums finish with vanilla and lactic notes. This is rock solid from head to toe; drink through 2021.",Gold 5,92,35.0,Levante,Jumilla,,Monastrell-Syrah,Crápula
30985,30985,Spain,"Smoky aromas of burnt hickory accent prune and spice cake scents. This is yet another lush, ripe, deep Ribera del Duero from the excellent 2010 vintage. Flavors of mocha, wood spice, char, blackberry and spicy BBQ notes finish chocolaty, with herb and spice accents that add to the wine's complexity. Drink through 2020.",Reserva,92,45.0,Northern Spain,Ribera del Duero,,Tempranillo,Emina
30987,30987,Spain,"Aromas of black cherry, cassis and alfalfa are ripe and appealing. This is 95% Monastrell with 5% Garnacha; the palate feels ripe, fresh and free-flowing, while flavors of blackberry and chocolate are moderate but appealing. A long, toasty, blackened finish is in excellent shape; drink through 2020.",X Alphabet Wines,91,25.0,Levante,Yecla,,Red Blend,La Purísima
30988,30988,Spain,"Gritty, leathery aromas of campfire smoke and shoe polish set the stage for a lush, soft-bodied, extremely ripe palate housing modest tannins and tons of weight. Short, ultraripe flavors of blackberry and black currant come with a chocolaty note that's backed by a peppery, toasty finish. This is the definition of an opulent, heady, high-alcohol Syrah. Drink now.",La Viña de Corteo,91,110.0,Levante,Jumilla,,Red Blend,El Nido
30990,30990,Spain,"Talk about a consistent wine. The past four vintages of 4 Varietales have all scored 91 points. This version opens with dense, jammy blackberry and raspberry aromas. The mouthfeel is healthy and full of tannic grip, while flavors of blackberry, prune, mocha and tobacco set up a chewy finish with rubbery tannins and length. Drink through 2023.",Colección Vivanco 4 Varietales Tempranillo-Graciano-­Garnacha-Mazuelo,91,95.0,Northern Spain,Rioja,,Red Blend,Dinastía Vivanco
30992,30992,Spain,"Immediately this presents itself in a positive light. The color is bright and lucid, the nose is solid and smells clean and lush, and the body is full, stout and smacks firmly with proper tannin-acid balance. Flavors of peppery, chocolaty black fruits finish toasty, peppery and thorough.",Carchelo,91,16.0,Levante,Jumilla,,Red Blend,Bodegas Carchelo
31037,31037,Spain,"Ripe, lightly spiced black cherry and berry aromas announce a good but basic wine. The palate is a bit tough in feel but it's solidly built. Candied, generic black-fruit flavors end simply, with modest syrupy sweetness.",Rojo Granrojo,84,11.0,Central Spain,Vino de la Tierra de Castilla,,Garnacha,Bodegas Navarro López
31091,31091,Spain,"Earthy, ripe aromas of raisin, blackberry and graphite announce a warm-vintage wine. With grabby tannins, there's bite and abrasiveness to the mouthfeel. Flavors of earthy blackberry and plum finish raisiny, short and heavy.",,87,31.0,Northern Spain,Ribera del Duero,,Tempranillo,Condado de Haza
31111,31111,Spain,"Leathery, roasted plum and berry aromas come with a noticeable charred, smoky side. This is full and edgy on the palate, with rubbery tannins. Flavors of charred oak steer leafy berry flavors toward a dry, herbal, spicy finish.",,86,13.0,Northern Spain,Rioja,,Tempranillo,Viña Los Valles
31116,31116,Spain,"Tropical fruit, apple and citrus aromas are chunky. A plump, mellow palate with modest acidity is home to peach, mango and papaya flavors. A soft finish is easygoing but suggests that this should be drunk as soon as possible.",,86,15.0,Galicia,Rías Baixas,,Albariño,Pazo Torrado
31127,31127,Spain,"Cutting aromas of rubbery red-berry fruits and wild herbs filter into a juicy, uncomplicated palate. Rubbery and medicinal tasting at first, this shows herbal raspberry and bitterness on the back end of the flavor profile and on the finish.",,86,13.0,Northern Spain,Bierzo,,Mencía,Peique
31178,31178,Spain,"Loamy berry, cheesy oak, balsamic hints and vanilla notes make for an interesting bouquet. This feels a bit wiry and acidic at its core, while overall it's chunky in stature. Deep warming flavors of kirsch and blackberry finish with heat and jammy weight. Drink through 2017.",,89,16.0,Northern Spain,Cariñena,,Garnacha,Firestarter
31179,31179,Spain,"Layered aromas of blackberry, cassis, leather and dried cheese are inviting. In the mouth, this Garnacha from vines more than 100-years-old is jammy and friendly. Candied almost syrupy flavors of blackberry and black cherry finish dense and chocolaty, with modest acidity. Drink through 2017.",Particular Viñas Centenarias,89,30.0,Northern Spain,Cariñena,,Garnacha,Bodegas San Valero
31180,31180,Spain,"Snappy citric aromas of grapefruit and lime are pungent and not too different from Verdejo or Sauvignon Blanc. Accordingly, the palate is fresh and focused, with flavors of stone fruits that are leesy and have a honeyed sweetness. A controlled, mild finish tastes mostly of orange. Drink now.",,89,24.0,Northern Spain,Bierzo,,Godello,Abad Dom Bueno
31193,31193,Spain,"Dark in color, this Mencía smells of turned earth, roots, herbs, dried cheese, tobacco and baked black fruits. It's round and chunky on the palate, but cobbled together at its foundation. Ripe blackberry and raspberry flavors come with vanilla and creamy notes in front of an ephemeral finish. Drink through 2017.",Finca la Cuesta,89,22.0,Northern Spain,Bierzo,,Mencía,Luna Beberide
31237,31237,Spain,"Gritty, leathery aromas of campfire smoke and shoe polish set the stage for a lush, soft-bodied, extremely ripe palate housing modest tannins and tons of weight. Short, ultraripe flavors of blackberry and black currant come with a chocolaty note that's backed by a peppery, toasty finish. This is the definition of an opulent, heady, high-alcohol Syrah. Drink now.",La Viña de Corteo,91,110.0,Levante,Jumilla,,Red Blend,El Nido
31238,31238,Spain,"Aromas of black cherry, cassis and alfalfa are ripe and appealing. This is 95% Monastrell with 5% Garnacha; the palate feels ripe, fresh and free-flowing, while flavors of blackberry and chocolate are moderate but appealing. A long, toasty, blackened finish is in excellent shape; drink through 2020.",X Alphabet Wines,91,25.0,Levante,Yecla,,Red Blend,La Purísima
31243,31243,Spain,"Leesy aromas of pear, apple and vanilla are pure and generous, with intensity. Layered and elegant on the palate, this was made entirely from free-run juice and tastes of dry apricot, citrus and apple. A note of spicy white pepper rises up on a minerally finish. Drink this winning Albariño now.",Lágrima,91,22.0,Galicia,Rías Baixas,,Albariño,Bágoa do Miño
31244,31244,Spain,"Punchy black-cherry and plum aromas are dry, earthy and toasty, with stony minerality and crispness. This is a full, lively, generous Monastrell offering blackberry, spiced cake and chocolate flavors over a dark, coffee-laden finish that goes the distance. Drink through 2018.",Tarima Hill Estate Bottled Old Vines,91,17.0,Levante,Alicante,,Monastrell,Volver
31246,31246,Spain,"This magenta-hued Monastrell opens with concentrated aromas of jammy wild berries, herbs and rubber. The palate feels fleshy and chunky, while herbal, earthy blackberry and plum flavors precede a full-force finish of herbal, briny and salty accents. Drink through 2022.",El Sequé,91,45.0,Levante,Alicante,,Monastrell,Artadi
31260,31260,Spain,"Light in color but fairly ripe on the nose, with dusty, earthy notes, this is edgy and drawing in the mouth, with raisiny weight. Baked berry and prune flavors finish similar, with a hint of heat. This is Grenache, Carignan and Syrah.",,87,22.0,Catalonia,Priorat,,Rhône-style Red Blend,Flors
31279,31279,Spain,"Saline, seashell and generic white-fruit aromas are good. This feels full, with a plump texture. Flavors of nectarine and peach are salty but true to the region and variety, while the finish is round in feel, with modest citric acidity.",,87,14.0,Galicia,Rías Baixas,,Albariño,Lagar de Indra
31281,31281,Spain,"Lime and grapefruit aromas are tight and come with a touch of edgy harshness. The palate shows bright acidity and is clean as a whole. Mixed citrus flavors are straightforward, and so is the finish.",,87,12.0,Catalonia,Catalunya,,Xarel-lo,Bohigas
31311,31311,Spain,"Blackberry, cassis and dusty aromas get this full-bodied Syrah-Monastrell off to a great start. This is staunch and well built, with firm tannins and dark, masculine flavors of blackberry, black currant, pepper and a hint of salt. A gutsy finish is powerful but balanced. This is impressive for the price.",Selección,91,37.0,Levante,Jumilla,,Syrah,Monterebro
31324,31324,Spain,"Gritty aromas of grilled meat, rubber and baked plum lead to a candied tasting, syrupy feeling palate that's sweet in flavor and mildly oaky. This results in a rich finish that's sticky, a bit hot and ripe.",Vilata Old Vines,84,10.0,Levante,Jumilla,,Monastrell-Syrah,Lo Nuevo
31349,31349,Spain,"This wine is hard, piercing and pushy on the nose, with a chemical note. A rubbery, soft palate carries little to no edge, while flavors of cooked berry and carob finish with notes of raisin and rubber. This bullish wine has its good points but it's tough and challenging.",Barrancos de Pizarra,84,53.0,Northern Spain,Vino de la Tierra de Castilla y León,,Red Blend,Pegaso
31407,31407,Spain,"While there's some brine and haystack on the nose of this Viura, the palate feels healthy, plump and properly acidic, while peach, melon and yeasty flavors hold firm on a medium-length finish.",Monopole,87,14.0,Northern Spain,Rioja,,Viura,CVNE
31409,31409,Spain,"Roasted, burnt, savory aromas of black fruits, char and campfire announce that this Merlot spent time in toasty oak. In the mouth, this is fresh but full bodied, with staunch tannins. Flavors of foresty blackberry, plum, vanilla and fall leaves finish dry and tannic.",Deyo,87,18.0,Northern Spain,Navarra,,Merlot,Castillo de Monjardin
31414,31414,Spain,"Earthy notes of saline and cheesy leather accent plum aromas on this tight number with rubbery tannins. Plum, cherry and herbal flavors carry some bitterness onto a finish with medicinal plum notes.",Viñadrian,86,15.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Berceo
31419,31419,Spain,"Briny, leathery, horsey berry aromas are alarming at first but settle in due time. A chunky mouthfeel struggles before finding its timing, while oaky flavors of hickory, bitter char and black fruits finish baked and herbal. This is good but raw, raspy and green.",,86,16.0,Levante,Jumilla,,Red Blend,El Molet
31421,31421,Spain,"Berry and plum aromas are rustic and stalky. Snappy and a bit sharp in feel, this shows leathery, roasted cherry and berry flavors in front of a short finish with black cherry notes.",,86,8.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Venta Morales
31425,31425,Spain,"Earthy, rooty aromas of cola, tobacco and baked black plum give way to a drawing, drying palate with rubbery, clampy tannins. Roasted plum, prune and herbal flavors finish loamy in feel but salty in flavor.",Zinio Tempranillo-Graciano,86,15.0,Northern Spain,Rioja,,Tempranillo Blend,Patrocinio
31434,31434,Spain,"Punchy, raw cranberry and red-plum aromas turn more candied with airing. This has an easy flowing feel as well as simple, fresh cherry and raspberry flavors. Dry spice, cocoa and residual cherry flavors drive the finish.",Palacio de Canedo Maceración Ecológico,86,20.0,Northern Spain,Bierzo,,Mencía,Prada A Tope
31460,31460,Spain,"Papaya and stone-fruit aromas are fleshy and a touch green and grassy, giving way to dustiness upon airing. This feels spritzy and good, with a full complement of golden apple, white grape and green plum flavors. Solid, stony and minerally on the finish, with a hint of tropical fruit flavor.",,89,25.0,Northern Spain,Getariako Txakolina,,Hondarrabi Zuri,Txomín Etxaníz
31462,31462,Spain,"Fresh cherry and plum aromas are a bit scratchy but alert. This feels firm, with bright acidity creating a raw sense on the palate. Plum, berry and a pinch of saltiness make for an authentic flavor profile, while this finishes long and steady. Drink through 2018.",Crianza,89,17.0,Northern Spain,Rioja,,Tempranillo Blend,Viña Otano
31467,31467,Spain,"Rubbery, earthy aromas of berry fruits, plum and mushroom are solid but nondescript. This feels grabby and pinchy, with herbal, leafy, salty flavors that end with loamy plum and prune notes. Overall, this is big and forceful. Drink through 2019.",Giné Giné,89,27.0,Catalonia,Priorat,,Red Blend,Buil & Giné
31505,31505,Spain,"Leesy aromas of pear, apple and vanilla are pure and generous, with intensity. Layered and elegant on the palate, this was made entirely from free-run juice and tastes of dry apricot, citrus and apple. A note of spicy white pepper rises up on a minerally finish. Drink this winning Albariño now.",Lágrima,91,22.0,Galicia,Rías Baixas,,Albariño,Bágoa do Miño
31506,31506,Spain,"Punchy black-cherry and plum aromas are dry, earthy and toasty, with stony minerality and crispness. This is a full, lively, generous Monastrell offering blackberry, spiced cake and chocolate flavors over a dark, coffee-laden finish that goes the distance. Drink through 2018.",Tarima Hill Estate Bottled Old Vines,91,17.0,Levante,Alicante,,Monastrell,Volver
31518,31518,Spain,"Concentrated aromas of blackberry marmalade, wood grain, pepper and turned earth are rich and smooth. This is a dense, chewy, maximum-ripeness Monastrell, with flavors of baked blackberry, baking spices and chocolate. Toast and additional chocolate flavors drive the finish. Drink through 2019.",Selección,91,30.0,Levante,Jumilla,,Monastrell,Nacido del Quórum
31590,31590,Spain,"There are positives and negatives to this tinta de toro. The nose is outright stalky and roasted, with a shortage of purity. The palate is huge and grossly tannic, a monster if you will. Flavors of sweet black fruits are stalky in nature, while prune, blackberry and herbal flavors drive the finish.",Crianza,87,26.0,Northern Spain,Toro,,Tinta de Toro,Cyan
31602,31602,Spain,"There's a briny note to the nose on this Xarel-lo, and otherwise not a lot of fruit besides a hint of nectarine. The palate brings bright acidity, while lime, tangerine and nectarine flavors finish with minerality, hence the name, which is Catalan for limestone.",Calcari,87,20.0,Catalonia,Penedès,,Xarel-lo,Parés Baltà
31606,31606,Spain,"Firm cherry and berry aromas offer grit and a whiff of asphalt on the side. A grabby palate is driven by a slightly astringent acid-tannin package, while flavors of roasted berry fruits are round, dark and toasty. This is a touch edgy but tasty and good.",La Tercia Bodega,87,15.0,Central Spain,La Mancha,,Tempranillo,Yemanueva
31607,31607,Spain,"Tarry, rubbery aromas of blackened berry fruits lead to a full, wide palate, with ripe blackberry, plum and chocolate flavors. This is full of oak spice on a long, satisfying finish.",,87,12.0,Northern Spain,Ribera del Duero,,Tinto Fino,Viridiana
31614,31614,Spain,"Dusty apple, spice and tropical fruit aromas feed into a mellow palate that isn't terribly acidic or cutting. Nectarine, passion fruit and mango flavors finish ripe and friendly, with residual sweetness and tropical fruit flavors.",Kila,87,13.0,Catalonia,Cava,,Sparkling Blend,Vins El Cep
31615,31615,Spain,"Roasted berry and plum aromas come with lifting floral notes. The palate is bright, racy and fueled by acidity, while flavors of black fruits, herbs and mint are more generic than unique, but finish clean.",Monte Castrillo,87,14.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca Torremilanos
31616,31616,Spain,"Berry, mild prune, licorice, herb and rubbery aromas set up a wiry mouthfeel that's full of energy. Lemony oak rests on top of earthy berry fruit flavors and hard tannins, while oak and high acidity as well as plum and raspberry notes finish it off.",Selección Crianza,87,18.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Tobía
31695,31695,Spain,"On first take, this smells like prunes, with little vitality. In the mouth, however, there's more pulse than the nose indicates, as tomato-like acidity drives the palate toward a mix of cherry tomato, red plum and oak flavors. A fresh but mild tasting finish ensures that this blend can accompany food without a problem.",Edición Limitada,87,15.0,Northern Spain,Navarra,,Red Blend,Príncipe de Viana
31720,31720,Spain,"Light fleshy aromas of peach and apricot lead to a tight juicy direct palate with pure, unadulterated flavors of pineapple, tangerine and apple. A crisp stony finish is fresh and in fine shape. This is a textbook racy Albariño to drink right away.",Etiqueta Verde,89,18.0,Galicia,Rías Baixas,,Albariño,Granbazán
31731,31731,Spain,"At first, this smells gaseous and rubbery, but airing reveals ripe blackberry aromas, graphite and warmth. In the mouth, this Mencía is jammy and woody; flavors of resiny, salty black fruits are chunky, while barrel influences carry onto the finish, which tastes of hickory, mixed spices and cassis. Drink through 2017.",,89,24.0,Northern Spain,Bierzo,,Mencía,Abad Dom Bueno
31756,31756,Spain,"Briny citrus, feline notes and pithy scents send this Merseguera-led blend toward a pulpy, citrusy palate. Grapefruit and pithy, lightly bitter flavors finish citric, with little change from the wine's primary flavors.",Tarima Blanco,85,9.0,Levante,Alicante,,White Blend,Volver
31759,31759,Spain,"Cherry and berry aromas are earthy, leathery and a touch stalky, with a note of compost. A round, fairly full mouthfeel and lightly oaked, medicinal flavors of black plum and berry fruits finish short.",Vendimia Seleccionada,85,14.0,Northern Spain,Rioja,,Tempranillo,Bodegas Muriel
31768,31768,Spain,"Mild peachy aromas are friendly but nothing serious or intense. This varietal Macabeo feels citrusy, while lightly bitter flavors of almond skins, citrus pith and green melon finish with simplicity and a note of nectarine.",Castillo de Alicante Gran Selección,85,9.0,Levante,Alicante,,Macabeo,Bocopa
31820,31820,Spain,"Dusty, earthy plum and cherry aromas are a bit scratchy but enjoyable and powerful. A smooth, plummy palate entertains flavors of toasty black fruits and peppery spice, while the finish is meaty and full, with easy tannins. Drink through 2017.",,91,18.0,Levante,Alicante,,Monastrell,Montgó
31863,31863,Spain,"This Mazuelo (Carignan) is strongly perfumed, with whiffs of juniper, funk and blueberry along the way. A full, lively, deep palate is home to black-fruit, chocolate and vanilla flavors, while the finish surfs on the edge of syrupy and fully ripe, ultimately falling on the right side of the fence.",Colección Vivanco Parcelas de,91,105.0,Northern Spain,Rioja,,Mazuelo,Dinastía Vivanco
31891,31891,Spain,"After the shocking purple color catches your eye, minerally aromas of boysenberry, cherry and vitamin dust scream toward a vibrant, bouncy, high-acid palate. Flavors of bright berry fruits are shear and tart, with minimal complexity or richness. Overall this is intense, zesty and tart.",Vinyes Velles,87,55.0,Catalonia,Priorat,,Red Blend,Ferrer Bobet
31900,31900,Spain,"Initial aromas are floral, candied and medicinal, but with time the nose rounds into form. The palate has a grabby, simple feel to it, while flavors of red plum and cherry have a lactic aftertaste. This is a generic Priorat, but it seems to get better the longer it sits in the glass. Drink now, but give it as much airing as possible.",,87,25.0,Catalonia,Priorat,,Red Blend,Nita
31905,31905,Spain,"Scratchy, edgy aromas of boysenberry and blackberry are a touch minty and herbal. This feels big, loud and choppy, with plenty of kick and hard tannins. Flavors of ripe dark fruits are toasty and earthy, while the finish is blocky, bullish and a touch hot, with power in reserve.",Urban Ribera,87,14.0,Northern Spain,Ribera del Duero,,Tinto del Pais,O. Fournier
31917,31917,Spain,"Lightly pickled, briny aromas are distant. In the mouth, this feels pinched and high in citric acid, but also refined. Flavors of grapefruit and passion fruit are tart, while lime and tangerine flavors are prominent on a briny, tart finish.",Cupatge d'Honor Brut,87,29.0,Catalonia,Cava,,Sparkling Blend,Pere Ventura
31919,31919,Spain,"Red-fruit aromas come with a touch of stalky/stemmy rusticity. Tomato-like acidity blends into the wine's medium-bodied structure, while notes of herbal spice vie with modest berry fruit flavors. A long, earthy finish contains hints of carob and smoked meat.",Crianza,87,13.0,Northern Spain,Rioja,,Tempranillo Blend,Carlos Serres
31947,31947,Spain,"Stalky, medicinal, rubbery aromas announce an acidic Tempranillo-led blend that's downright astringent on the palate. Flavors of stalky fruit, buttery oak and sheer raspberry and plum end crisp and tight, with a salty flavor.",Barcolobo 12 Meses en Barrica,83,30.0,Northern Spain,Vino de la Tierra de Castilla y León,,Red Blend,Finca la Rinconada
31993,31993,Spain,"Apple and peach aromas come with a hint of lime. This is clean and feels good on the palate, where apple, peach and nectarine flavors lead to a straight-ahead finish that feels right but doesn't even suggest complexity.",Aria Estate Brut,87,14.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
32002,32002,Spain,"The nose on this brut is a touch grassy, with apple aromas. On first take, it feels foamy, but with time it settles down. Flavors of sulfur, apple and saline finish with pithy citrus notes and flavors of spiced apple, rhubarb and mild bitterness.",Extremarium Brut Reserva,87,27.0,Catalonia,Cava,,Sparkling Blend,Mont Marçal
32007,32007,Spain,"Berry, asphalt, leather and jammy notes pour off the bouquet on this full-bodied but fairly basic Tempranillo. Baked blackberry flavors are touched up by peppery spice and carob notes, while the finish is toasty and bitter like espresso.",Roble,87,18.0,Northern Spain,Ribera del Duero,,Tempranillo,Legón
32039,32039,Spain,"It has been a while since we've reviewed Cuatro Pasos, but eight vintages later it's basically the same wine, which, for the price, means good value. This opens with earthy warm muddled berry aromas. The palate is flush and plump, reflective of a hot vintage, while blackberry and cassis flavors finish hefty. Drink now.",,88,13.0,Northern Spain,Bierzo,,Mencía,Cuatro Pasos
32045,32045,Spain,"Dark, raisiny aromas of kirsch and marzipan open this jammy Tempranillo. Dark berry, black plum, foresty accents and mulchiness define the flavors on this stewy, plump offering.",Roble,85,14.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca El Encinal
32069,32069,Spain,"Tropical fruit, passion fruit and lime aromas are a bit sweaty and suggestive of pine resin. This is low on spine and verve, meaning it's a touch flat and flabby. Briny nectarine and tarragon flavors finish with green notes of scallion and lime.",,85,15.0,Northern Spain,Rueda,,Verdejo,Emina
32153,32153,Spain,"Warm, ripe, earthy aromas of plum and berry are welcoming. This is moderately tannic, with lasting acidity. Oaky aromas of coconut and vanilla blend nicely with loamy earth, black plum and prune flavors. A mellow, flavorful, smooth finish amounts to a fine ending; drink through 2020.",Gran Reserva,91,50.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués del Puerto
32188,32188,Spain,"This is a faultless Albariño that checks out up front, on the palate and late in the game. Tropical aromas are melony, fresh and minerally. The mouth is peachy and smooth in texture, with kicking acidity. Pithy citrus and nectarine flavors are textbook, and the citrusy finish is long and true.",,90,19.0,Galicia,Rías Baixas,,Albariño,Nora
32190,32190,Spain,"This blend of seven grapes is like a cup of dark-roast coffee blended with funk and green herbs on the nose. The palate is chunky, full and beefy, with roasted black-fruit flavors that are slightly herbal and green. Oak, carob and herbal leftovers dominate the finish.",7 Varietales,87,80.0,Northern Spain,Rioja,,Red Blend,Dominio de Berzal
32240,32240,Spain,"Leathery, herbal aromas suggest compost. A full, hard, tannic palate is home to rubbery flavors of herbal blackberry and pepper, while a medicinal dark-berry character controls the finish. This is a decent wine with mild weediness.",,83,12.0,Levante,Jumilla,,Monastrell,Tarantas
32315,32315,Spain,"Leesy fleshy papaya aromas come with a touch of sulfur and harshness. This feels solid, albeit modest in bubbles. Flavors of apple and green melon are lasting and steady on the finish.",Brut Natural Reserva,88,23.0,Catalonia,Penedès,,Sparkling Blend,Albet I Noya
32327,32327,Spain,"Waxy aromas of lanolin, dried apple and cheese set up a plump well-balanced palate, with plenty of body weight and adequate acidity. Peach, apple and melon flavors are moderately stony and minerally, while this varietal Garnacha Blanca finishes with good length.",Selecció,88,30.0,Catalonia,Terra Alta,,Grenache Blanc,Edetària
32331,32331,Spain,"Aromas of orange peel and orange essence are oily and bring softer notes of melon, apple and tropical fruits. This is bright but basic on the tongue, with cutting acidity. Tropical flavors of green melon and mango are ratcheted by citric acidity, while the finish is citrusy and pithy.",,88,20.0,Galicia,Rías Baixas,,Albariño,Gotas de Mar
32333,32333,Spain,"Apple and peach aromas are clean and pure. This feels round yet compact, with orange, nectarine and pithy flavors. Green-apple tartness and malic acidity push a pure finish that doesn't balk.",Uhin Berdea,88,21.0,Northern Spain,Getariako Txakolina,,Hondarrabi Zuri,K5 Argiñano
32337,32337,Spain,"Rustic leathery aromas are capped and low on vibrant fruit scents. In the mouth, expect tannic scratchiness. Flavors of plum, cassis and toasty oak come across as mildly baked, while a narrow finish with notes of earth, loam and chocolate is solid. Drink now.",Reserva,88,29.0,Northern Spain,Rioja,,Tempranillo,Marqués de Vitoria
32338,32338,Spain,"Raisin and prune aromas indicate full ripeness, while jammy fig notes come in later and confirm this wine's warm-vintage DNA. A clampy palate with big tannins offers inky flavors of plum and prune, while an oaky concentrated finish feels jammy. Drink through 2018.",Barranc Dels Closos,88,24.0,Catalonia,Priorat,,Red Blend,Mas Igneus
